ID,project,collection_date,SP_location,replicate,collection_site,SP_type,collectors,vessel,site_start,site_end,niskin_closed,waypoint,ST_LatDD,ST_LonDD,End_LatDD,End_LonDD,conditions,sst_f,rugosity,site_depth_ft,appr_niskin_line_out,niskin_depth_probe,temp_at_depth,filter_type,filter_pore_um,filtration_date,filtration_time,filterer,filtration_site,turbidity,ph,vol_l,notes,edna_sample_status,extracted,SU_Serial
CCBB06202148A,CCFRP,8/4/21,BH06,A,BB,REF ,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,7:45:00,49,38.338144,-123.09305,38.338278,-123.093443,NA,56,2,96,100,22.65454726,13.14,Sterivex,0.45,8/5/21,10:32:00,"AH, KY",Cole A,0.57,0,2.5,pH meter out of batteries,1,9/20/21,57
CCBB06202148B,CCFRP,8/4/21,BH06,B,BB,REF ,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,8:08:00,55,38.338144,-123.09305,38.338278,-123.093443,NA,59.2,2,96,100,19.88062215,12.97,Sterivex,0.45,8/5/21,11:13:00,"AH, KY",Cole A,0.81,0,2.5,,1,9/20/21,58
CCBB06202148C,CCFRP,8/4/21,BH06,C,BB,REF ,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,8:35:00,57,38.338144,-123.09305,38.338278,-123.093443,NA,59,2,99,100,22.09976223,13.4,Sterivex,0.45,8/5/21,11:42:00,"AH, KY",Cole A,1.04,0,2.5,,1,9/20/21,59
CCBB03202148A,CCFRP,8/4/21,BH03,A,BB,REF ,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,9:00:00,62,38.347114,-123.094591,38.347185,-123.094765,NA,59.6,2,96,100,22.83287101,13.46,Sterivex,0.45,8/5/21,10:52:00,"AH, KY",Cole A,0.53,0,2.5,,1,9/20/21,60
CCBB03202148B,CCFRP,8/4/21,BH03,B,BB,REF ,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,9:33:00,65,38.347114,-123.094591,38.347185,-123.094765,NA,59.5,2,84,90,15.89805825,13.62,Sterivex,0.45,8/5/21,11:13:00,"AH, KY",Cole A,0.61,0,2,only 2 L in container,1,9/20/21,61
CCBB03202148C,CCFRP,8/4/21,BH03,C,BB,REF ,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,9:55:00,70,38.347114,-123.094591,38.347185,-123.094765,NA,59.5,2,78,85,8.923617991,14.52,Sterivex,0.45,8/5/21,11:42:00,"AH, KY",Cole A,0.84,0,2.5,,1,9/20/21,62
CCBB14202148A,CCFRP,8/4/21,BH14,A,BB,MPA,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,10:33:00,73,38.316427,-123.079087,38.315943,-123.078441,NA,58.7,2,27,31,8.705666733,14.79,Sterivex,0.45,8/5/21,10:52:00,"KY, AH",Cole A,1.13,0,2.5,,1,9/20/21,63
CCBB14202148B,CCFRP,8/4/21,BH14,B,BB,MPA,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,10:45:00,76,38.316427,-123.079087,38.315943,-123.078441,NA,58.5,2,38,41,10.97434119,15.37,Sterivex,0.45,8/5/21,11:13:00,"KY, AH",Cole A,1.95,0,2.5,,1,9/20/21,64
CCBB14202148C,CCFRP,8/4/21,BH14,C,BB,MPA,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,11:05:00,78,38.316427,-123.079087,38.315943,-123.078441,NA,58.9,2,40,44,17.39399643,15.3,Sterivex,0.45,8/5/21,11:42:00,"KY, AH",Cole A,0.66,0,2.5,,1,9/20/21,65
CCBB19202148A,CCFRP,8/4/21,BH19,A,BB,MPA,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,11:43:00,83,38.303547,-123.078032,38.303149,-123.076763,NA,60.3,2,88,90,20.22736279,15.31,Sterivex,0.45,8/5/21,12:27:00,"KY, AH",Cole A,0.88,0,2.5,,1,9/20/21,66
CCBB19202148B,CCFRP,8/4/21,BH19,B,BB,MPA,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,11:55:00,86,38.303547,-123.078032,38.303149,-123.076763,NA,60.4,2,92,100,17.2057658,13.97,Sterivex,0.45,8/5/21,12:21:00,"KY, AH",Cole A,0.88,0,2.5,,1,9/20/21,67
CCBB19202148C,CCFRP,8/4/21,BH19,C,BB,MPA,"AH, KY",R/V Huli Cat,0:00:00,0:00:00,12:33:00,89,38.303547,-123.078032,38.303149,-123.076763,NA,60.4,2,91,100,13.21329503,15.85,Sterivex,0.45,8/5/21,12:21:00,"KY, AH",Cole A,0.68,0,2.5,,1,9/20/21,68
