ID,Project,collection_date,Cell_Location,Replicate,collection_site,Cell_Type,Collector,Vessel,Site_Start,Site_End,Conditions,SST_F,Rugosity,Site_Depth_ft,Filter_Type,Filter_Pore_um,Niskin_Closed,Lat,Lon,Filtration_Date,Filtration_Time,Filterer,Filtration_Site,Turbidity,pH,Vol_L,Appr_Niskin_Line_Out,Niskin_depth_probe,Temp_at_Depth,Notes,Ann_Labels,edna_sample_status,extraction_date,SU_Serial
CCBB20200907A,CCFRP,2020-09-07,Cell 5,A,BB,Reference,Holmes,R/V Huli Cat,11:39:00,13:36:00,,58.5,2,118,Sterivex PVDF,0.45,12:15,38.344253,-123.097211,2020-09-07,19:06:00,Holmes,BML dorm,0.92,8.21,1,95,,,,BB1; filter 1,1,2021-01-30,4
CCBB20200907B,CCFRP,2020-09-07,Cell 5,B,BB,Reference,Holmes,R/V Huli Cat,11:39:00,13:36:00,,58.5,2,121,Sterivex PVDF,0.45,12:50,38.344611,-123.097919,2020-09-07,19:24:00,Holmes,BML dorm,1.19,8.15,1,95,,,,BB1; filter 2,1,2021-01-30,7
CCBB20200907C,CCFRP,2020-09-07,Cell 5,C,BB,Reference,Holmes,R/V Huli Cat,11:39:00,13:36:00,,58.2,2,116,Sterivex PVDF,0.45,13:04,38.344738,-123.097659,2020-09-07,19:37:00,Holmes,BML dorm,0.58,8.2,1,95,,,,BB1; filter 3,1,2021-01-30,8
CCBB20200907A,CCFRP,2020-09-07,Cell 6,A,BB,Reference,Holmes,R/V Huli Cat,13:58:00,14:57:00,,58.5,2,95,Sterivex PVDF,0.45,14:03,38.339115,-123.092641,2020-09-07,20:52:00,Holmes,BML dorm,1.08,8.21,1,95,,,,BB2; filter 4,1,2021-01-30,14
CCBB20200907B,CCFRP,2020-09-07,Cell 6,B,BB,Reference,Holmes,R/V Huli Cat,13:58:00,14:57:00,,58.9,2,75,Sterivex PVDF,0.45,14:31,38.337786,-123.091171,2020-09-07,21:02:00,Holmes,BML dorm,0.82,8.3,1,70,,,2 Niskins combined- poured ~0.2L from first Niskin then it was empty so took another sample & combined; jelly tentacles on Niskin,BB2; filter 5,1,2021-01-30,16
CCBB20200907C,CCFRP,2020-09-07,Cell 6,C,BB,Reference,Holmes,R/V Huli Cat,13:58:00,14:57:00,,58.9,2,74,Sterivex PVDF,0.45,14:45,38.339154,-123.09177,2020-09-07,21:07:00,Holmes,BML dorm,0.75,8.16,1,70,,,,BB2; filter 6,1,2021-01-30,19
CCBB20200907A,CCFRP,2020-09-07,Cell 8,A,BB,MPA,Holmes,R/V Huli Cat,15:13:00,16:11:00,,59.2,3,92,Sterivex PVDF,0.45,15:21,38.326432,-123.090005,2020-09-07,21:13:00,Holmes,BML dorm,1.71,8.18,1,90,,,,BB3; filter 7,1,2021-01-30,20
CCBB20200907B,CCFRP,2020-09-07,Cell 8,B,BB,MPA,Holmes,R/V Huli Cat,15:13:00,16:11:00,,59.3,3,96,Sterivex PVDF,0.45,15:36,38.326363,-123.090129,2020-09-07,21:19:00,Holmes,BML dorm,0.63,14,1,90,,,,BB3; filter 8,1,2021-01-30,21
CCBB20200907C,CCFRP,2020-09-07,Cell 8,C,BB,MPA,Holmes,R/V Huli Cat,15:13:00,16:11:00,,59.5,2,95,Sterivex PVDF,0.45,16:03,38.326356,-123.089604,2020-09-07,21:26:00,Holmes,BML dorm,0.59,8.18,1,90,,,,BB3; filter 9,1,2021-01-30,24
CCNA20200907NC1,CCFRP,2020-09-07,Negative Control,NC1,NA,,Holmes,,,,,,,,Sterivex PVDF,0.45,,,,2020-09-07,21:33:00,Holmes,BML dorm,,,1,,,,,filter 10,1,2021-01-30,
CCBB20200908A,CCFRP,2020-09-08,Cell 25,A,BB,Reference,Killeen,R/V Huli Cat,7:12:00,8:06:00,,58.2,2,56,Sterivex PVDF,0.45,7:16,38.284226,-123.039546,2020-09-08,20:23:00,Holmes,Ann's house,0.6,8.28,1,50,,,slightly < 1L,BB4; filter 11,1,2021-01-31,25
CCBB20200908B,CCFRP,2020-09-08,Cell 25,B,BB,Reference,Killeen,R/V Huli Cat,7:12:00,8:06:00,,58.4,2,54,Sterivex PVDF,0.45,7:30,38.284635,-123.040001,2020-09-08,20:30:00,Holmes,Ann's house,0.43,8.11,1,50,,,"pH changed a lot, later measurements likely more accurate",BB4; filter 12,1,2021-01-31,26
CCBB20200908C,CCFRP,2020-09-08,Cell 25,C,BB,Reference,Killeen,R/V Huli Cat,7:12:00,8:06:00,,58.4,2,54,Sterivex PVDF,0.45,7:50,38.28423,-123.039325,2020-09-08,20:40:00,Holmes,Ann's house,0.9,8.04,1,53,,,,BB4; filter 13,1,2021-01-31,27
CCBB20200908A,CCFRP,2020-09-08,Cell 20,A,BB,MPA,Killeen,R/V Huli Cat,8:25:00,9:17:00,,54.9,2,40,Sterivex PVDF,0.45,8:31,38.306457,-123.071093,2020-09-08,20:50:00,Holmes,Ann's house,1.05,8.07,1,40,,,,BB5; filter 14,1,2021-01-31,28
CCBB20200908B,CCFRP,2020-09-08,Cell 20,B,BB,MPA,Killeen,R/V Huli Cat,8:25:00,9:17:00,,54.9,2,31,Sterivex PVDF,0.45,8:48,38.307453,-123.069879,2020-09-08,20:58:00,Holmes,Ann's house,0.56,8.09,1,30,,,,BB5; filter 15,1,2021-01-31,29
CCBB20200908C,CCFRP,2020-09-08,Cell 20,C,BB,MPA,Killeen,R/V Huli Cat,8:25:00,9:17:00,,54.7,2,29,Sterivex PVDF,0.45,9:06,38.306948,-123.070026,2020-09-08,21:08:00,Holmes,Ann's house,0.62,8.09,1,25,,,,BB5; filter 16,1,2021-01-31,30
CCBB20200908A,CCFRP,2020-09-08,Cell 10,A,BB,MPA,Killeen,R/V Huli Cat,9:49:00,11:30:00,,55.2,2,90,Sterivex PVDF,0.45,9:51,38.323213,-123.089244,2020-09-08,21:15:00,Holmes,Ann's house,0.64,8.01,1,90,,,,BB6; filter 17,1,2021-01-31,31
CCNA20200908NC2,CCFRP,2020-09-08,Negative Control,NC2,NA,,Killeen,,,,,,,,Sterivex PVDF,0.45,,,,2020-09-08,21:25:00,Holmes,Ann's house,,,1,,,,"filter looks brownish, maybe from funky DI water @ BML",filter 18,1,2021-01-31,
