ID,Project,Collecition_Date,Cell_Location,Replicate,Collection_Site,Cell_Type,Collectors,Vessel,Site_Start,Site_End,Niskin_Closed,Waypoint,Lat,Lon,Conditions,SST_F,Rugosity,Site_Depth_ft,Appr_Niskin_Line_Out,Niskin_depth_probe,Temp_at_Depth,Filter_Type,Filter_Pore_um,Filtration_Date,Filtration_Time,Filterer,Filtration_Site,Turbidity,pH,Vol_L,Notes,eDNA_Sample_Status,Extracted,SU_Serial
CCBB06202148A,CCFRP,2021-08-04,Cell 6,A,BB,REF ,"AH, KY",R/V Huli Cat,,,7:45:00,49,,,,56,2,96,100,,,Sterivex,0.45,2021-08-05,10:32:00,"AH, KY",Cole A,0.57,,2.5,pH meter out of batteries,1,2021-09-20,57
CCBB06202148B,CCFRP,2021-08-04,Cell 6,B,BB,REF ,"AH, KY",R/V Huli Cat,,,8:08:00,55,,,,59.2,2,96,100,,,Sterivex,0.45,2021-08-05,11:13:00,"AH, KY",Cole A,0.81,,2.5,,1,2021-09-20,58
CCBB06202148C,CCFRP,2021-08-04,Cell 6,C,BB,REF ,"AH, KY",R/V Huli Cat,,,8:35:00,57,,,,59,2,99,100,,,Sterivex,0.45,2021-08-05,11:42:00,"AH, KY",Cole A,1.04,,2.5,,1,2021-09-20,59
CCBB03202148A,CCFRP,2021-08-04,Cell 3,A,BB,REF ,"AH, KY",R/V Huli Cat,,,9:00:00,62,,,,59.6,2,96,100,,,Sterivex,0.45,2021-08-05,10:52:00,"AH, KY",Cole A,0.53,,2.5,,1,2021-09-20,60
CCBB03202148B,CCFRP,2021-08-04,Cell 3,B,BB,REF ,"AH, KY",R/V Huli Cat,,,9:33:00,65,,,,59.5,2,84,90,,,Sterivex,0.45,2021-08-05,11:13:00,"AH, KY",Cole A,0.61,,2,only 2 L in container,1,2021-09-20,61
CCBB03202148C,CCFRP,2021-08-04,Cell 3,C,BB,REF ,"AH, KY",R/V Huli Cat,,,9:55:00,70,,,,59.5,2,78,85,,,Sterivex,0.45,2021-08-05,11:42:00,"AH, KY",Cole A,0.84,,2.5,,1,2021-09-20,62
CCBB14202148A,CCFRP,2021-08-04,Cell 14,A,BB,MPA,"AH, KY",R/V Huli Cat,,,10:33:00,73,,,,58.7,2,27,31,,,Sterivex,0.45,2021-08-05,10:52:00,"KY, AH",Cole A,1.13,,2.5,,1,2021-09-20,63
CCBB14202148B,CCFRP,2021-08-04,Cell 14,B,BB,MPA,"AH, KY",R/V Huli Cat,,,10:45:00,76,,,,58.5,2,38,41,,,Sterivex,0.45,2021-08-05,11:13:00,"KY, AH",Cole A,1.95,,2.5,,1,2021-09-20,64
CCBB14202148C,CCFRP,2021-08-04,Cell 14,C,BB,MPA,"AH, KY",R/V Huli Cat,,,11:05:00,78,,,,58.9,2,40,44,,,Sterivex,0.45,2021-08-05,11:42:00,"KY, AH",Cole A,0.66,,2.5,,1,2021-09-20,65
CCBB19202148A,CCFRP,2021-08-04,Cell 19,A,BB,MPA,"AH, KY",R/V Huli Cat,,,11:43:00,83,,,,60.3,2,88,90,,,Sterivex,0.45,2021-08-05,12:27:00,"KY, AH",Cole A,0.88,,2.5,,1,2021-09-20,66
CCBB19202148B,CCFRP,2021-08-04,Cell 19,B,BB,MPA,"AH, KY",R/V Huli Cat,,,11:55:00,86,,,,60.4,2,92,100,,,Sterivex,0.45,2021-08-05,12:21:00,"KY, AH",Cole A,0.88,,2.5,,1,2021-09-20,67
CCBB19202148C,CCFRP,2021-08-04,Cell 19,C,BB,MPA,"AH, KY",R/V Huli Cat,,,12:33:00,89,,,,60.4,2,91,100,,,Sterivex,0.45,2021-08-05,12:21:00,"KY, AH",Cole A,0.68,,2.5,,1,2021-09-20,68
