"unit","serial","datetime","depth_m","temp_C","dummy"
"SU-15830",4,"2020-09-07 12:21:59",24.3783435704379,13.54,"4_24.3783435704379"
"SU-15830",7,"2020-09-07 12:57:29",25.2996829799881,12.6,"7_25.2996829799881"
"SU-15830",8,"2020-09-07 13:11:29",25.7058648702199,13.3200000000001,"8_25.7058648702199"
"SU-15830",14,"2020-09-07 14:10:19",25.7256786209629,14.54,"14_25.7256786209629"
"SU-15830",16,"2020-09-07 14:31:19",18.8899346146225,13.98,"16_18.8899346146225"
"SU-15830",19,"2020-09-07 14:52:49",19.405092133941,13.79,"19_19.405092133941"
"SU-15830",20,"2020-09-07 15:29:09",17.8893402021003,14.81,"20_17.8893402021003"
"SU-15830",21,"2020-09-07 15:41:59",22.7238953833961,13.28,"21_22.7238953833961"
"SU-15830",24,"2020-09-07 16:08:49",22.5059441252229,13.46,"24_22.5059441252229"
"SU-15830",25,"2020-09-08 07:18:49",12.6783237566871,11.31,"25_12.6783237566871"
"SU-15830",26,"2020-09-08 07:37:29",13.7581731721815,11.36,"26_13.7581731721815"
"SU-15830",27,"2020-09-08 07:57:29",18.5431939766198,11.29,"27_18.5431939766198"
"SU-15830",28,"2020-09-08 08:38:09",12.8962750148603,11.22,"28_12.8962750148603"
"SU-15830",29,"2020-09-08 08:54:59",9.55765801466217,11.59,"29_9.55765801466217"
"SU-15830",30,"2020-09-08 09:09:39",10.8455518129582,11.56,"30_10.8455518129582"
"SU-15830",31,"2020-09-08 09:58:29",25.9436298791361,10.85,"31_25.9436298791361"
"SU-15830",33,"2020-09-09 09:48:45",13.6987319199524,11.54,"33_13.6987319199524"
"SU-15830",35,"2020-09-09 10:25:05",25.18080047553,10.77,"35_25.18080047553"
"SU-15830",37,"2020-09-09 10:59:15",14.6596988309887,11.34,"37_14.6596988309887"
"SU-15830",40,"2020-09-09 11:29:35",23.9820685555776,10.52,"40_23.9820685555776"
"SU-15830",42,"2020-09-09 11:59:55",25.3987517337032,10.65,"42_25.3987517337032"
"SU-15830",43,"2020-09-09 13:04:15",18.880027739251,11.93,"43_18.880027739251"
"SU-15830",44,"2020-09-09 13:26:15",25.3690311075887,11.62,"44_25.3690311075887"
"SU-15830",45,"2020-09-09 13:43:35",18.1072914602734,11.8200000000001,"45_18.1072914602734"
"SU-15830",46,"2020-09-10 09:02:05",26.8649692886863,11.47,"46_26.8649692886863"
"SU-15830",47,"2020-09-10 09:23:15",26.3200911432534,11.65,"47_26.3200911432534"
"SU-15830",48,"2020-09-10 09:44:35",25.844561125421,11.76,"48_25.844561125421"
"SU-15830",49,"2020-09-10 10:43:35",26.9541311670299,12.05,"49_26.9541311670299"
"SU-15830",50,"2020-09-10 11:06:25",26.5479492767981,11.91,"50_26.5479492767981"
"SU-15830",51,"2020-09-10 11:28:45",27.1027342976025,11.89,"51_27.1027342976025"
"SU-15830",53,"2020-09-10 12:56:05",20.9010303150386,11.53,"53_20.9010303150386"
"SU-15830",54,"2020-09-10 13:09:25",26.7956211610858,11.72,"54_26.7956211610858"
"SU-15830",55,"2020-09-10 13:24:35",26.9640380424014,11.65,"55_26.9640380424014"
"SU-16899",57,"2021-08-04 06:59:43",21.0991678224688,13.14,"57_21.0991678224688"
"SU-16899",58,"2021-08-04 07:23:03",22.6545472557955,12.97,"58_22.6545472557955"
"SU-16899",59,"2021-08-04 07:49:23",19.8806221517733,13.4,"59_19.8806221517733"
