"eDNA_20","eDNA_21","Site","Access","downstream_Lat_DD","downstream_Lon_DD","upstream_Lat_DD","upstream_Lon_DD"
"Y","Y","Mace","Public",38.51885556,-121.6951944,38.51746944,-121.6980806
"Y","Y","Old Davis","UCD Preserve",38.51724722,-121.7543639,38.51710278,-121.7565222
"Y","Y","Pedrick","UCD Preserve",38.527075,-121.8021111,38.52689722,-121.8049806
"","","Stevenson","Private",38.53598611,-121.8470278,38.53669167,-121.8488361
"","","Russell Ranch","UCD Preserve",38.53837222,-121.8620472,38.53762778,-121.8681889
"","","I505 (historic)","Public",38.52575556,-121.9524722,38.52522778,-121.9545139
"","Y","I505 (recent)","Public",38.52648889,-121.9500167,38.52613611,-121.951175
"","Y","Winters Putah Creek Park (recent)","Public",38.52221111,-121.9644389,38.51898889,-121.9688722
"","","Winters Putah Creek Park (original)","Public",38.52221111,-121.9644389,38.51878056,-121.9689194
"","","Dry Creek","Private",38.51544722,-121.9714722,38.51389722,-121.9740167
"","","Putah Diversion Dam","Private",38.49513056,-122.0021194,38.49365,-122.0041583
