"Fish_ID","Drift_ID","Species_Code","Tag_ID","Length_cm","Gear_Type","Station_Number","Angler_ID","Depth_Released_ft","Lat_Released_DD","Lon_Released_DD","Sex","Condtion_0","Condtion_1","Condtion_2","Condtion_3","Condtion_4","Condtion_5","Condtion_6","Condtion_7","Condtion_8","All_Conditions","Retained","Recapture","Trip_comments","GPS_Waypoint","waypoint_link"
"","BHM0810201401","BUF","","26","BAT","5","B172",29,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201401","LCD","B05002","56.5","BAR","1","B129",29,"","","M",1,0,0,0,0,0,0,0,0,"",0,0,"","1409",""
"","BHM0810201401","LCD","B05003","54","BAR","2","B132",30,"","","M",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201402","BWN","B05004","36","BAT","5","B172",35,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","1412",""
"","BHM0810201402","BWN","","26","FLY","4","B168",35,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201402","BWN","B05005","40.5","BAT","6","B173",35,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","1413",""
"","BHM0810201402","BWN","B05006","38.5","BAT","5","B172",39,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201402","KGL","B05007","38.5","BAR","2","B132",39,"","","F",1,0,0,0,0,0,0,0,0,"",0,0,"","1414",""
"","BHM0810201402","BWN","B05008","35.5","FLY","4","B168",39,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201403","BWN","B05009","35","FLY","3","B174",50,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201403","GPR","","34.5","FLY","4","B168",50,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201403","BWN","","31.5","BAT","6","B173",50,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201901","BLA","","37","FLY","4","B168",83,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201901","GPR","","31","BAT","5","B172",83,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201901","BLA","","36.5","BAT","6","B173",103,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"","",""
"","BHM0810201901","LCD","","71","BAR","2","B132",103,"","","F",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","BHM0810201901","BWN","","34","BAR","1","B129",103,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","1419",""
"","BHM0810201902","GPR","","30","FLY","3","B174",90,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"SIM","",""
"","BHM0810201902","BLU","","26","FLY","3","B174",90,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201904","GPR","","29","BAR","1","B129",75,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SOM","",""
"","BHM0810201904","GPR","","34","BAT","5","B172",75,"","","",0,0,0,0,1,0,0,0,0,"",0,0,"","",""
"","BHM0810201904","CHN","","34.5","BAT","6","B173",82,"","","",0,1,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201905","GPR","","29","BAT","5","B172",71,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SOM","",""
"","BHM0810201905","BWN","","30.5","FLY","4","B168",71,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201905","GPR","B05012","34","BAT","5","B172",71,"","","",1,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201905","GPR","","31.5","BAT","5","B172",78,"","","",1,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","BHM0810201905","GPR","","32","BAR","1","B129",78,"","","",1,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
