"Fish_ID","Drift_ID","Species_Code","Tag_ID","Length_cm","Gear_Type","Station_Number","Angler_ID","Depth_Released_ft","Lat_Released_DD","Lon_Released_DD","Sex","Condtion_0","Condtion_1","Condtion_2","Condtion_3","Condtion_4","Condtion_5","Condtion_6","Condtion_7","Condtion_8","All_Conditions","Retained","Recapture","Trip_comments","GPS_Waypoint","waypoint_link"
"","SPR0909201601","BLA","",20,"BAT",6,"B129",41,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201601","YTL","",33,"FLY",4,"B195",41,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201601","BLA","",25,"BAT",6,"B129",41,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201601","BLA","",24,"BAR",1,"A441",41,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201601","BLA","",23,"FLY",4,"B195",49,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","1789",""
"","SPR0909201601","CHN","",35,"BAT",6,"B129",49,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"SIM","",""
"","SPR0909201601","BLA","",28,"BAR",1,"A441",49,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201601","BLA","",31,"FLY",3,"B169",49,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201602","CHN","",28,"BAT",5,"B194",41,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"SIM","",""
"","SPR0909201602","GPR","",32,"BAT",6,"B129",41,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SIM","",""
"","SPR0909201602","BLA","",28,"BAT",6,"B129",41,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201602","BLA","",34.5,"BAT",6,"B129",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201602","BLA","",32,"FLY",3,"B169",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201602","BLA","",28,"BAT",6,"B129",70,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","BLU","",24,"BAT",5,"B194",75,"","","",0,0,0,0,0,0,0,0,1,"",0,0,"CORMORANT'S LUNCH","",""
"","SPR0909201603","OLV","",36,"BAR",1,"A441",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"eDNA WP","1793",""
"","SPR0909201603","GPR","",34,"BAR",1,"A441",75,"","","",0,0,0,0,0,1,0,0,0,"",0,0,"SOM","",""
"","SPR0909201603","YTL","",36,"BAT",5,"B194",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","OLV","",34.5,"BAT",6,"B129",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","BLU","",28,"BAT",6,"B129",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","DEA","",26,"BAR",1,"A441",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","BLU","",28,"FLY",4,"B195",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","BLU","",35,"FLY",4,"B195",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","DEA","",25,"FLY",3,"B169",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","DEA","",23,"FLY",3,"B169",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
"","SPR0909201603","DEA","",25.5,"BAT",5,"B194",75,"","","",1,0,0,0,0,0,0,0,0,"",0,0,"","",""
