ID,Project,Collecition_Date,Cell_Location,Replicate,Collection_Site,Cell_Type,Collectors,Vessel,Site_Start,Site_End,Niskin_Closed,Waypoint,Lat,Lon,Conditions,SST_F,Rugosity,Site_Depth_ft,Appr_Niskin_Line_Out,Niskin_depth_probe,Temp_at_Depth,Filter_Type,Filter_Pore_um,Filtration_Date,Filtration_Time,Filterer,Filtration_Site,Turbidity,pH,Vol_L,Notes,eDNA_Sample_Status,Extracted,SU_Serial
CCBB14202148A,CCFRP,8/4/21,Cell 14,A,BB,MPA,"AH, KY",R/V Huli Cat,NA,NA,10:33:00,73,NA,NA,NA,58.7,2,27,31,8.923617991,14.79,Sterivex,0.45,8/5/21,10:52:00,"KY, AH",Cole A,1.13,NA,2.5,,1,9/20/21,63
CCBB14202148B,CCFRP,8/4/21,Cell 14,B,BB,MPA,"AH, KY",R/V Huli Cat,NA,NA,10:45:00,76,NA,NA,NA,58.5,2,38,41,8.705666733,15.37,Sterivex,0.45,8/5/21,11:13:00,"KY, AH",Cole A,1.95,NA,2.5,,1,9/20/21,64
CCBB14202148C,CCFRP,8/4/21,Cell 14,C,BB,MPA,"AH, KY",R/V Huli Cat,NA,NA,11:05:00,78,NA,NA,NA,58.9,2,40,44,10.97434119,15.3,Sterivex,0.45,8/5/21,11:42:00,"KY, AH",Cole A,0.66,NA,2.5,,1,9/20/21,65
CCBB19202148A,CCFRP,8/4/21,Cell 19,A,BB,MPA,"AH, KY",R/V Huli Cat,NA,NA,11:43:00,83,NA,NA,NA,60.3,2,88,90,17.39399643,15.31,Sterivex,0.45,8/5/21,12:27:00,"KY, AH",Cole A,0.88,NA,2.5,,1,9/20/21,66
CCBB19202148B,CCFRP,8/4/21,Cell 19,B,BB,MPA,"AH, KY",R/V Huli Cat,NA,NA,11:55:00,86,NA,NA,NA,60.4,2,92,100,20.22736279,13.97,Sterivex,0.45,8/5/21,12:21:00,"KY, AH",Cole A,0.88,NA,2.5,,1,9/20/21,67
CCBB19202148C,CCFRP,8/4/21,Cell 19,C,BB,MPA,"AH, KY",R/V Huli Cat,NA,NA,12:33:00,89,NA,NA,NA,60.4,2,91,100,17.2057658,15.85,Sterivex,0.45,8/5/21,12:21:00,"KY, AH",Cole A,0.68,NA,2.5,,1,9/20/21,68
CCBB03202148A,CCFRP,8/4/21,Cell 3,A,BB,REF ,"AH, KY",R/V Huli Cat,NA,NA,9:00:00,62,NA,NA,NA,59.6,2,96,100,22.09976223,13.46,Sterivex,0.45,8/5/21,10:52:00,"AH, KY",Cole A,0.53,NA,2.5,,1,9/20/21,60
CCBB03202148B,CCFRP,8/4/21,Cell 3,B,BB,REF ,"AH, KY",R/V Huli Cat,NA,NA,9:33:00,65,NA,NA,NA,59.5,2,84,90,22.83287101,13.62,Sterivex,0.45,8/5/21,11:13:00,"AH, KY",Cole A,0.61,NA,2,only 2 L in container,1,9/20/21,61
CCBB03202148C,CCFRP,8/4/21,Cell 3,C,BB,REF ,"AH, KY",R/V Huli Cat,NA,NA,9:55:00,70,NA,NA,NA,59.5,2,78,85,15.89805825,14.52,Sterivex,0.45,8/5/21,11:42:00,"AH, KY",Cole A,0.84,NA,2.5,,1,9/20/21,62
CCBB06202148A,CCFRP,8/4/21,Cell 6,A,BB,REF ,"AH, KY",R/V Huli Cat,NA,NA,7:45:00,49,NA,NA,NA,56,2,96,100,21.09916782,13.14,Sterivex,0.45,8/5/21,10:32:00,"AH, KY",Cole A,0.57,NA,2.5,pH meter out of batteries,1,9/20/21,57
CCBB06202148B,CCFRP,8/4/21,Cell 6,B,BB,REF ,"AH, KY",R/V Huli Cat,NA,NA,8:08:00,55,NA,NA,NA,59.2,2,96,100,22.65454726,12.97,Sterivex,0.45,8/5/21,11:13:00,"AH, KY",Cole A,0.81,NA,2.5,,1,9/20/21,58
CCBB06202148C,CCFRP,8/4/21,Cell 6,C,BB,REF ,"AH, KY",R/V Huli Cat,NA,NA,8:35:00,57,NA,NA,NA,59,2,99,100,19.88062215,13.4,Sterivex,0.45,8/5/21,11:42:00,"AH, KY",Cole A,1.04,NA,2.5,,1,9/20/21,59
CCSP12202188A,CCFRP,8/8/21,Cell 12,A,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,12:02:00,207,NA,NA,NA,55.4,3,66,70,14.67951258,15.22,Sterivex,0.45,8/15/21,10:03:00,"KY, AH",Cole A,1.1,NA,2.65,,1,9/23/21,87
CCSP12202188B,CCFRP,8/8/21,Cell 12,B,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,12:25:00,209,NA,NA,NA,55.7,3,81,85,18.30542897,14.17,Sterivex,0.45,8/16/21,10:27:00,"KY, AH",Cole A,0.92,NA,2.6,,1,9/23/21,88
CCSP12202188C,CCFRP,8/8/21,Cell 12,C,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,12:46:00,211,NA,NA,NA,55.7,3,50,50,14.34267882,13.56,Sterivex,0.45,8/17/21,10:53:00,"KY, AH",Cole A,0.62,NA,2.7,,1,9/23/21,89
CCSP17202178A,CCFRP,8/7/21,Cell 17,A,SP,REF,"KY, KM",R/V Huli Cat,NA,NA,13:27:00,166,NA,NA,NA,54.6,3,87,100,19.2168615,13.21,Sterivex,0.45,8/7/21,19:51:00,AH ,BML dorm parking lot,1.08,NA,2.5,,1,9/20/21,78
CCSP17202178B,CCFRP,8/7/21,Cell 17,B,SP,REF,"KY, KM",R/V Huli Cat,NA,NA,13:55:00,168,NA,NA,NA,54.4,3,58,60,13.64919754,16.17,Sterivex,0.45,8/7/21,20:15:00,AH ,BML dorm parking lot,1.21,NA,1,not sure why only 1L in bottle,1,9/20/21,79
CCSP17202178C,CCFRP,8/7/21,Cell 17,C,SP,REF,"KY, KM",R/V Huli Cat,NA,NA,14:16:00,171,NA,NA,NA,54.7,3,54,60,19.88062215,16.42,Sterivex,0.45,8/7/21,20:25:00,AH ,BML dorm parking lot,1.37,NA,2.5,,1,9/20/21,80
CCSP19202188A,CCFRP,8/8/21,Cell 19,A,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,13:19:00,215,NA,NA,NA,56.9,3,80,85,13.1835744,14.66,Sterivex,0.45,8/18/21,11:19:00,"KY, AH",Cole A,0.5,NA,2.6,,1,9/23/21,90
CCSP19202188B,CCFRP,8/8/21,Cell 19,B,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,13:45:00,220,NA,NA,NA,56.5,3,120,100,22.35734099,16.33,Sterivex,0.45,8/19/21,11:34:00,"KY, AH",Cole A,0.58,NA,2.7,,1,9/23/21,91
CCSP19202188C,CCFRP,8/8/21,Cell 19,C,SP,REF,"KY, AH",R/V Huli Cat,NA,NA,14:08:00,223,NA,NA,NA,56.5,3,86,95,17.87943333,17.34,Sterivex,0.45,8/20/21,11:50:00,"KY, AH",Cole A,0.51,NA,2.6,,1,9/23/21,92
CCSP03202188A,CCFRP,8/8/21,Cell 3,A,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,8:45:00,179,NA,NA,NA,58.6,3,60,6,9.111848623,13.23,Sterivex,0.45,8/9/21,10:03:00,"KY, AH",Cole A,1.1,NA,2.3,,1,9/23/21,81
CCSP03202188B,CCFRP,8/8/21,Cell 3,B,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,9:24:00,186,NA,NA,NA,53.6,3,80,60,15.16494947,13.41,Sterivex,0.45,8/10/21,10:23:00,"KY, AH",Cole A,0.55,NA,2.7,,1,9/23/21,82
CCSP03202188C,CCFRP,8/8/21,Cell 3,C,SP,MPA,"KY, AH",R/V Huli Cat,NA,NA,9:55:00,191,NA,NA,NA,53.9,3,97,100,22.66445413,13.25,Sterivex,0.45,8/11/21,10:44:00,"KY, AH",Cole A,0.58,NA,2.7,,1,9/23/21,83
CCSP07202178A,CCFRP,8/7/21,Cell 7,A,SP,MPA,"KY, KM",R/V Huli Cat,NA,NA,9:10:00,136,NA,NA,NA,51,3,50,50,13.21329503,12.2,Sterivex,0.45,8/7/21,19:44:00,AH ,BML dorm parking lot,1.25,NA,2.5,"small chance 7 and 17 switched, see FNC2 note",1,9/20/21,69
