Drift ID,Trip ID,ID Cell per Trip,Grid Cell ID,Site (MPA/ REF),Drifting or Holding Station,Start Time,End Time,Drift Time (hrs),BAR (+/- mins) Fishing Time,FLY (+/- mins) Fishing Time,BAT (+/- mins) Fishing Time,DPR (+/- mins) Fishing Time,SBT (+/- mins) Fishing Time,Total (+/-) Time (hrs),Number of BAT fishers,Number of FLY fishers,Number of DPR fishers,Number of SBT fishers,Number of BAR fishers,Total # Anglers Fishing,Total Angler Hrs,ST_LatDD,ST_LonDD,Start Lat/Lon GPS Waypoint,Start Lat/Lon waypoint_link,End_LatDD,End_LonDD,End Lat/Lon GPS Waypoint,End Lat/Lon waypoint_link,Drift Length (m),Recorder,Tag Crew,"Surface T (instrument, C)","Depth T ( instrument, C)","SWT (vessel, F)",Relief (1-3),Start Depth (ft),End Depth (ft),Lingcod Bar Weight (oz),Lead Weight (oz),SBT Tail Length (in),SBT Head Weight (oz),# Seals,# Sea Lions,Total Fishes Caught,Cloud Cover (0-3),Obs Wind Speed (kt),Obs Wind Direction,Obs Swell Height (ft),Secchi Depth (m),Comments,Excluded Drift Comment,Exclude:Gear-Specific CPUE
BHR0815200101,BHT03_20,,BH01,REF,,7:12:00 AM,7:15:00 AM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.356356,-123.096110,1617,,38.356363,-123.096121,1618,,,SS,IMB,,,59.00,2,97,,4,10,0,0,0,0,2,0,5,SE,2.00,,,,
BHR0815200102,BHT03_20,,BH01,REF,,7:21:00 AM,7:27:00 AM,,0.00,0.00,-1.00,0.00,0.00,,2,2,0,0,2,6,,38.354000,-123.093820,1619,,38.354961,-123.093806,1620,,,SS,IMB,,,59.00,3,57,78,4,10,0,0,0,0,3,0,5,SE,2.00,,,,
BHR0815200103,BHT03_20,,BH01,REF,,7:31:00 AM,7:42:00 AM,,0.00,-3.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.354060,-123.093667,1621,,38.355278,-123.094067,1622,,,SS,IMB,,,59.00,3,58,94,4,10,0,0,0,0,5,0,5,SE,2.00,,,,
BHR0815200104,BHT03_20,,BH01,REF,,7:47:00 AM,8:02:00 AM,,0.00,-2.00,-1.00,0.00,0.00,,2,2,0,0,2,6,,38.353722,-123.093815,1623,,38.355464,-123.093683,1624,,,SS,JL,,,59.00,3,65,69,4,10,0,0,0,0,8,0,5,SE,2.00,,,,
BHR0815200105,BHT03_20,,BH01,REF,,8:05:00 AM,8:10:00 AM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.353181,-123.094478,1625,,38.353667,-123.094044,1626,,,SS,ML,,,59.00,1,96,94,4,10,0,0,0,0,1,0,5,SE,2.00,,,,
BHR0815200106,BHT03_20,,BH01,REF,,8:16:00 AM,8:21:00 AM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.353889,-123.092823,1627,,38.354346,-123.093177,1628,,,SS,ML,,,59.00,2,85,88,4,10,0,0,1,0,5,0,5,SE,2.00,,SEAL HARASSMENT,,
BHR0908200101,BHT05_20,,BH01,REF,,11:46:00 AM,12:00:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,1,5,,38.354521,-123.09403,1749,,38.354151,-123.093075,1750,,,SS,HK,,,55.0,2,69,90,4,10,0,0,0,0,11,3,LV,,3.00,,,,
BHR0908200102,BHT05_20,,BH01,REF,,12:02:00 PM,12:05:00 PM,,0.00,0.00,-2.00,0.00,0.00,,2,2,0,0,1,5,,38.354158,-123.093503,1751,,38.354053,-123.093393,1752,,,SS,JL,,,55.0,3,74,71,4,10,0,0,0,0,0,3,LV,,3.00,,,,
BHR0908200103,BHT05_20,,BH01,REF,,12:07:00 PM,12:20:00 PM,,0.00,-2.50,0.00,0.00,0.00,,2,2,0,0,1,5,,38.354482,-123.094496,1753,,38.354436,-123.093128,1754,,,SS,IMB,,,55.0,3,89,90,4,10,0,0,0,0,5,3,LV,,3.00,,,,
BHR0908200104,BHT05_20,,BH01,REF,,12:25:00 PM,12:31:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,1,5,,38.353843,-123.093639,1755,,38.353594,-123.093459,1756,,,SS,HK,,,55.0,3,59,69,4,10,0,0,0,0,3,3,LV,,3.00,,,,
BHR0908200105,BHT05_20,,BH01,REF,,12:40:00 PM,12:49:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,1,5,,38.354206,-123.093801,1757,,38.353913,-123.092055,1759,,,SS,JL,,,55.0,2,66,65,4,10,0,0,0,0,7,3,LV,,3.00,,,,
BHR0907200501,BHT04_20,,BH05,REF,,11:39:00 AM,11:46:00 AM,,0.00,-1.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.305447,-123.055340,1667,,38.344530,-123.097765,1668,,,SS,JL,,,59.0,,116,118,4,12,0,0,0,0,28,0,8,NW,6.00,,,,
BHR0907200502,BHT04_20,,BH05,REF,,12:10:00 PM,12:15:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.344622,-123.097857,1669,,38.344253,-123.097211,1670,,,SS,IMB,,,59.0,2,119,120,4,12,0,0,0,0,16,0,8,NW,6.00,,,,
BHR0907200503,BHT04_20,,BH05,REF,,12:23:00 PM,12:27:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.344798,-123.097739,1671,,38.344347,-123.097572,1673,,,SS,JL,,,59.0,2,78,116,4,12,0,0,0,0,10,0,8,NW,6.00,,,,
BHR0907200504,BHT04_20,,BH05,REF,,12:30:00 PM,12:33:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.344635,-123.097769,1674,,38.344211,-123.097555,1675,,,SS,JL,,,59.0,2,116,117,4,12,0,0,0,0,8,0,8,NW,6.00,,,,
BHR0907200505,BHT04_20,,BH05,REF,,12:41:00 PM,12:46:00 PM,,0.00,0.00,-0.50,0.00,0.00,,2,2,0,0,2,6,,38.344579,-123.097950,1676,,38.344655,-123.097098,1677,,,SS,JL,,,59.0,2,121,112,4,12,0,0,0,0,13,0,8,NW,6.00,,End waypoint inferred,,
BHR0907200506,BHT04_20,,BH05,REF,,12:52:00 PM,12:56:00 PM,,0.00,0.00,-0.50,0.00,0.00,,2,2,0,0,2,6,,38.344611,-123.097919,1678,,38.344659,-123.097415,1679,,,SS,IMB,,,59.0,2,118,114,4,12,0,0,0,0,9,0,8,NW,6.00,,,,
BHR0907200507,BHT04_20,,BH05,REF,,1:01:00 PM,1:09:00 PM,,0.00,0.00,0.00,0.00,0.00,,2,2,0,0,2,6,,38.344738,-123.097659,1680,,38.344497,-123.097783,1682,,,SS,IMB,,,59.0,2,116,116,4,12,0,0,0,0,18,0,8,NW,6.00,,,,
