Fish ID,Drift ID,Species Code,Tag ID,Length (cm),Gear Type,Station #,Angler ID,Depth Released (ft),Lat Released (DD),Lon Released (DD),Sex,Condition 0,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,All Conditions,Retained,Recapture,Comments,GPS Waypoint,waypoint_link
,SPR0909201601,BLA,,20.0,BAT,6,B129,41,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201601,YTL,,33.0,FLY,4,B195,41,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201601,BLA,,25.0,BAT,6,B129,41,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201601,BLA,,24.0,BAR,1,A441,41,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201601,BLA,,23.0,FLY,4,B195,49,,,,1,0,0,0,0,0,0,0,0,,0,0,,1789,
,SPR0909201601,CHN,,35.0,BAT,6,B129,49,,,,1,0,0,0,0,0,0,0,0,,0,0,SIM,,
,SPR0909201601,BLA,,28.0,BAR,1,A441,49,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201601,BLA,,31.0,FLY,3,B169,49,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201602,CHN,,28.0,BAT,5,B194,41,,,,1,0,0,0,0,0,0,0,0,,0,0,SIM,,
,SPR0909201602,GPR,,32.0,BAT,6,B129,41,,,,0,0,0,0,0,1,0,0,0,,0,0,SIM,,
,SPR0909201602,BLA,,28.0,BAT,6,B129,41,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201602,BLA,,34.5,BAT,6,B129,70,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201602,BLA,,32.0,FLY,3,B169,70,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201602,BLA,,28.0,BAT,6,B129,70,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,BLU,,24.0,BAT,5,B194,75,,,,0,0,0,0,0,0,0,0,1,,0,0,CORMORANT'S LUNCH,,
,SPR0909201603,OLV,,36.0,BAR,1,A441,75,,,,1,0,0,0,0,0,0,0,0,,0,0,eDNA WP,1793,
,SPR0909201603,GPR,,34.0,BAR,1,A441,75,,,,0,0,0,0,0,1,0,0,0,,0,0,SOM,,
,SPR0909201603,YTL,,36.0,BAT,5,B194,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,OLV,,34.5,BAT,6,B129,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,BLU,,28.0,BAT,6,B129,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,DEA,,26.0,BAR,1,A441,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,BLU,,28.0,FLY,4,B195,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,BLU,,35.0,FLY,4,B195,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
,SPR0909201603,DEA,,25.0,FLY,3,B169,75,,,,1,0,0,0,0,0,0,0,0,,0,0,,,
