Date,Location,Replicate,Region,Type,Collectors,Vessel,Site start,Site end,Niskin closed time,Waypoint,Lat,Long,Conditions,SST (F),Rugosity,Site Depth (ft),"Niskin line out, approx (ft)","Niskin depth, probe",Temp at depth,Filter type,Filter pore (um),Filtration date,Filtration time,Filterer,Filtration site,Turbidity (NTU),pH,Vol (L),Notes,Extraction Date
8/4/21,Cell 6,A,BB,REF ,"AH, KY",R/V Huli Cat,,,7:45,49,,,,56.0,2,96,100,,,Sterivex,0.45,8/5/21,10:32,"AH, KY",Cole A,0.57,not taken,2.5,pH meter out of batteries,"9/20/21, AH & KY"
8/4/21,Cell 6,B,BB,REF ,"AH, KY",R/V Huli Cat,,,8:08,55,,,,59.2,2,96,100,,,Sterivex,0.45,8/5/21,11:13,"AH, KY",Cole A,0.81,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 6,C,BB,REF ,"AH, KY",R/V Huli Cat,,,8:35,57,,,,59.0,2,99,100,,,Sterivex,0.45,8/5/21,11:42,"AH, KY",Cole A,1.04,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 3,A,BB,REF ,"AH, KY",R/V Huli Cat,,,9:00,62,,,,59.6,2,96,100,,,Sterivex,0.45,8/5/21,10:52,"AH, KY",Cole A,0.53,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 3,B,BB,REF ,"AH, KY",R/V Huli Cat,,,9:33,65,,,,59.5,2,84,90,,,Sterivex,0.45,8/5/21,11:13,"AH, KY",Cole A,0.61,not taken,2.0,only 2 L in container,"9/20/21, AH & KY"
8/4/21,Cell 3,C,BB,REF ,"AH, KY",R/V Huli Cat,,,9:55,70,,,,59.5,2,78,85,,,Sterivex,0.45,8/5/21,11:42,"AH, KY",Cole A,0.84,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 14,A,BB,MPA,"AH, KY",R/V Huli Cat,,,10:33,73,,,,58.7,2,27,31,,,Sterivex,0.45,8/5/21,10:52,"KY, AH",Cole A,1.13,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 14,B,BB,MPA,"AH, KY",R/V Huli Cat,,,10:45,76,,,,58.5,2,38,41,,,Sterivex,0.45,8/5/21,11:13,"KY, AH",Cole A,1.95,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 14,C,BB,MPA,"AH, KY",R/V Huli Cat,,,11:05,78,,,,58.9,2,40,44,,,Sterivex,0.45,8/5/21,11:42,"KY, AH",Cole A,0.66,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 19,A,BB,MPA,"AH, KY",R/V Huli Cat,,,11:43,83,,,,60.3,2,88,90,,,Sterivex,0.45,8/5/21,12:27,"KY, AH",Cole A,0.88,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 19,B,BB,MPA,"AH, KY",R/V Huli Cat,,,11:55,86,,,,60.4,2,92,100,,,Sterivex,0.45,8/5/21,12:21,"KY, AH",Cole A,0.88,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Cell 19,C,BB,MPA,"AH, KY",R/V Huli Cat,,,12:33,89,,,,60.4,2,91,100,,,Sterivex,0.45,8/5/21,12:21,"KY, AH",Cole A,0.68,not taken,2.5,,"9/20/21, AH & KY"
8/4/21,Field Neg Control,FNC1,,,,,,,n/a,,,,,,,,,,,Sterivex,0.45,8/5/21,12:15,"KY, AH",Cole A,n/a,not taken,2.5,,"9/20/21, AH & KY"
8/7/21,Cell 7,A,SP,MPA,"KY, KM",R/V Huli Cat,,,9:10,136,,,,51.0,3,50,50,,,Sterivex,0.45,8/7/21,19:44,AH ,BML dorm parking lot,1.25,not taken,2.5,"small chance 7 and 17 switched, see FNC2 note","9/20/21, AH & KY"
