Date,Site,Paired?,Rep_1,X,S5XX,N7XX,Lat,Lon,Collector,Time,Collection method,Temp,SpCnd,DO_percentage,Turb_NTU,pH,Bar_mmHg,Env_data_comments,Filtering ,Filterer,Rep_2,Filter_type,Pore_size_um,Vol_L,Filtration_site,Filtration_time,Comments,Entered_by,Date_entered,extracted_by,extracted_date,library_prep_notes
12-Dec-19,Stebbins Cold Canyon,,A,1,,,,,AH,,Bottle on pole,,,,,,,,,,A,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Stebbins Cold Canyon,,B,2,,,,,AH,,Bottle on pole,,,,,,,,,,B,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Stebbins Cold Canyon,,C,3,,,,,AH,,Bottle on pole,,,,,,,,,,C,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Hasbrook,,A,4,,,,,AH,,Bottle on pole,,,,,,,,,,A,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Hasbrook,N,B,5,,,,,AH,,Bottle on pole,,,,,,,,,,B,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Hasbrook,N,C,6,,,,,AH,,Bottle on pole,,,,,,,,,,C,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Mace Blvd,N,A,7,,,,,AH,,Bottle on pole,,,,,,,,,,A,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Mace Blvd,N,B,8,,,,,AH,,Bottle on pole,,,,,,,,,,B,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Mace Blvd,N,C,1,,,,,AH,,Bottle on pole,,,,,,,,,,C,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
12-Dec-19,Fied Neg Contr,,,2,,,,,AH,,Bottle on pole,,,,,,,,,,NC1,Filter type,1.6,1,Cole A,,,AH,30-Jun-20,,,
21-May-20,Russell Ranch,Fyke trap,A,,S522,N701,,,AH,1024,eDNA sampler,17.9,322.9,81.9,2.66,8.49,,South branch of creek from south side of island below trap,in situ,AH,A,PC,1,0.4,in situ,1024,,AH,10-Jun-20,,,
21-May-20,Russell Ranch,Fyke trap,B,,S522,N702,,,AH,1024,eDNA sampler,17.9,322.9,81.9,2.66,8.49,,South branch of creek from south side of island below trap,in situ,AH,B,PC,1,0.4,in situ,1024,,AH,10-Jun-20,,,
21-May-20,Russell Ranch,Fyke trap,C,3,,,,,AH,1024,eDNA sampler,17.9,322.9,81.9,2.66,8.49,,South branch of creek from south side of island below trap,in situ,AH,C,PC,1,0.6,in situ,1024,,AH,10-Jun-20,,,
21-May-20,Hasbrook,N,A,4,,,,,AH,1230,eDNA sampler,16.3,289.6,81,2.94,8.71,,"South shore, upstream of trap",in situ,AH,A,PC,5,1,in situ,1230,,AH,10-Jun-20,,,
21-May-20,Hasbrook,N,B,5,,,,,AH,1230,eDNA sampler,16.3,289.6,81,2.94,8.71,,"South shore, upstream of trap",in situ,AH,B,PC,5,1,in situ,1235,,AH,10-Jun-20,,,
21-May-20,"Hasbrook- no extraction, maybe lost?",,,,,,,,AH,1230,eDNA sampler,16.3,289.6,81,2.94,8.71,,"South shore, upstream of trap",in situ,AH,C,PC,5,1,in situ,1240,,AH,10-Jun-20,,,
25-May-20,Russell Ranch,Fyke trap,A,6,,,,,AH,840,eDNA sampler,19,404,79.7,2.32,8.38,,"Sampled just below trap, north side of creek",in situ,AH,A,PC,1,0.5,in situ,840,,AH,10-Jun-20,,,
25-May-20,Russell Ranch,Fyke trap,B,7,,,,,AH,840,eDNA sampler,19,404,79.7,2.32,8.38,,"Sampled just below trap, north side of creek",in situ,AH,B,PC,1,0.5,in situ,850,,AH,10-Jun-20,,,
25-May-20,Russell Ranch,Fyke trap,C,8,,,,,AH,840,eDNA sampler,19,404,79.7,2.32,8.38,,"Sampled just below trap, north side of creek",in situ,AH,C,PC,1,0.5,in situ,900,,AH,10-Jun-20,,,
,Extr Neg Contr,,ENC1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-May-20,Russell Ranch,Fyke trap,A,2,,,,,AH,930,eDNA sampler,21.7,334.1,79.1,2.54,8.46,756.6,Sampled 3m below trap,in situ,AH,A,PC,5,1,in situ,930,,AH,11-Jun-20,,,
