eDNA_20,eDNA_21,Site,Access,downstream_Lat,downstream_Lon,downstream_Lat_DD,downstream_Lon_DD,upstream_Lat,upstream_Lon,upstream_Lat_DD,upstream_Lat_DD
Y,Y,Mace,Public,,,38.51885556,-121.6951944,,,38.51746944,-121.6980806
Y,Y,Old Davis,UCD Preserve,,,38.51724722,-121.7543639,,,38.51710278,-121.7565222
Y,Y,Pedrick,UCD Preserve,,,38.527075,-121.8021111,,,38.52689722,-121.8049806
,,Stevenson,Private,,,38.53598611,-121.8470278,,,38.53669167,-121.8488361
,,Russell Ranch,UCD Preserve,,,38.53837222,-121.8620472,,,38.53762778,-121.8681889
,,I505 (historic),Public,,,38.52575556,-121.9524722,,,38.52522778,-121.9545139
,Y,I505 (recent),Public,,,38.52648889,-121.9500167,,,38.52613611,-121.951175
,Y,Winters Putah Creek Park (recent),Public,,,38.52221111,-121.9644389,,,38.51898889,-121.9688722
,,Winters Putah Creek Park (original),Public,,,38.52221111,-121.9644389,,,38.51878056,-121.9689194
,,Dry Creek,Private,,,38.51544722,-121.9714722,,,38.51389722,-121.9740167
,,Putah Diversion Dam,Private,,,38.49513056,-122.0021194,,,38.49365,-122.0041583
,,,,,,,,,,,
,,,down stream lat,38,31,7.88,upstream lat,38,31,2.89,
,,,,38,31,2.09,,38,31,1.57,
,,,,38,31,37.47,,38,31,36.83,
,,,,38,32,9.55,,38,32,12.09,
,,,,38,32,18.14,,38,32,15.46,
,,,,38,31,32.72,,38,31,30.82,
,,,,38,31,35.36,,38,31,34.09,
,,,,38,31,19.96,,38,31,8.36,
,,,,38,31,19.96,,38,31,7.61,
,,,,38,30,55.61,,38,30,50.03,
,,,,38,29,42.47,,38,29,37.14,
,,,,,,,,,,,
,,,down stream lon,121,41,42.7,upstream lon,121,41,53.09,
,,,,121,45,15.71,,121,45,23.48,
,,,,121,48,7.6,,121,48,17.93,
,,,,121,50,49.3,,121,50,55.81,
,,,,121,51,43.37,,121,52,5.48,
,,,,121,57,8.9,,121,57,16.25,
,,,,121,57,0.06,,121,57,4.23,
,,,,121,57,51.98,,121,58,7.94,
,,,,121,57,51.98,,121,58,8.11,
,,,,121,58,17.3,,121,58,26.46,
,,,,122,0,7.63,,122,0,14.97,
